Dichotomy: -1
Iterations: 22
Function evaluations: 44
-1.00066	-0.997842			-0.999748	-0.998758	-5	-5	
-1.00066	-0.998758			-1.00021	-0.999215	-5	-5	
-1.00066	-0.999215			-1.00043	-0.999444	-5	-5	
-1.00066	-0.999444			-1.00055	-0.999559	-5	-5	
-1.00055	-0.999444			-1.00049	-0.999502	-5	-5	
-1.00055	-0.999502			-1.00052	-0.99953	-5	-5	
-1.00052	-0.999502			-1.00051	-0.999516	-5	-5	
-1.00051	-0.999502			-1.0005	-0.999509	-5	-5	
-1.0005	-0.999502			1.45898	8.54102	1.04658	86.0311	
-10	20			-2.91796	1.45898	-1.32143	1.04658	
-10	8.54102			-5.62306	-2.91796	16.3727	-1.32143	
-10	1.45898			-2.91796	-1.24612	-1.32143	-4.93943	
-5.62306	1.45898			-1.24612	-0.212862	-4.93943	-4.38041	
-2.91796	1.45898			-1.88471	-1.24612	-4.2173	-4.93943	
-2.91796	-0.212862			-1.24612	-0.851449	-4.93943	-4.97793	
-1.88471	-0.212862			-0.851449	-0.607531	-4.97793	-4.84597	
-1.24612	-0.212862			-1.0022	-0.851449	-5	-4.97793	
-1.24612	-0.607531			-1.09537	-1.0022	-4.9909	-5	
-1.24612	-0.851449			-1.0022	-0.944618	-5	-4.99693	
-1.09537	-0.851449			-1.03779	-1.0022	-4.99857	-5	
-1.09537	-0.944618			-1.0022	-0.980205	-5	-4.99961	
-1.03779	-0.944618			-1.01579	-1.0022	-4.99975	-5	
-1.03779	-0.980205			-1.0022	-0.993798	-5	-4.99996	
-1.01579	-0.980205			-1.00739	-1.0022	-4.99995	-5	
-1.01579	-0.993798			-1.0022	-0.998991	-5	-5	
-1.00739	-0.993798			-0.998991	-0.997007	-5	-4.99999	
-1.0022	-0.993798			-1.00022	-0.998991	-5	-5	
-1.0022	-0.997007			-1.00097	-1.00022	-5	-5	
-1.0022	-0.998991			-1.00022	-0.999748	-5	-5	
-1.00097	-0.998991			-1.00051	-1.00022	-5	-5	
-1.00097	-0.999748			-1.00022	-1.00004	-5	-5	
-1.00051	-0.999748			1.45898	8.54102	1.04658	86.0311	
-10	20			-2.91796	1.45898	-1.32143	1.04658	
-10	8.54102			-5.62306	-2.91796	16.3727	-1.32143	
-10	1.45898			-2.91796	-1.24612	-1.32143	-4.93943	
-5.62306	1.45898			-1.24612	-0.212862	-4.93943	-4.38041	
-2.91796	1.45898			-1.8847	-1.24612	-4.2173	-4.93943	
-2.91796	-0.212862			-1.24612	-0.851449	-4.93943	-4.97793	
-1.8847	-0.212862			-0.851449	-0.607531	-4.97793	-4.84597	
-1.24612	-0.212862			-1.0022	-0.851449	-5	-4.97793	
-1.24612	-0.607531			-1.09537	-1.0022	-4.99091	-5	
-1.24612	-0.851449			-1.0022	-0.944617	-5	-4.99693	
-1.09537	-0.851449			-1.03778	-1.0022	-4.99857	-5	
-1.09537	-0.944617			-1.0022	-0.980202	-5	-4.99961	
-1.03778	-0.944617			-1.01579	-1.0022	-4.99975	-5	
-1.03778	-0.980202			-1.0022	-0.993789	-5	-4.99996	
-1.01579	-0.980202			-1.00738	-1.0022	-4.99995	-5	
-1.01579	-0.993789			-1.0022	-0.998965	-5	-5	
-1.00738	-0.993789			-0.998965	-0.997024	-5	-4.99999	
-1.0022	-0.993789			-1.00026	-0.998965	-5	-5	
-1.0022	-0.997024			-1.00091	-1.00026	-5	-5	
-1.0022	-0.998965

Line minimum: -1
